nombre,vector1,vector2,vector3,vector4,vector5,vector6,vector7,vector8,vector9,vector10,nombre2
91:AM0669,0.2704,0.0077,-0.0155,0.0219,0.0099,-0.0844,0.0678,-0.061,0.0117,-0.0449,Tarahumara
93:AM0665,0.2354,0.0008,-0.006,0.0208,0.0099,0.0298,0.0041,-0.0259,-0.0142,-0.0371,Tarahumara
98:AM0654,0.2533,-0.0403,0.0128,-0.0057,-0.016,0.0473,0.0255,0.0124,0.0277,0.0444,Tarahumara
103:AM0645,0.192,0.0207,0.0114,-0.0068,0.0096,-0.0578,0.0213,0.0017,0.0359,-0.0148,Tarahumara
106:AM0642,0.2039,-0.0027,0.0576,-0.0232,0.0216,-0.0324,-0.0208,-0.13,-0.0047,-0.1343,AM0642
158:AM086,-0.0565,0.0249,0.1118,0.0412,0.0505,-0.048,-0.0783,-0.0177,-0.0278,0.0637,Totonaca
180:AM064,-0.0564,0.0212,0.1035,-0.0297,-0.0769,-0.0334,0.0408,-0.2153,-0.0775,-0.1097,Nahuatl
189:AM056,-0.0783,0.0947,0.055,0.1696,-0.0924,-0.0359,0.2109,-0.1047,0.0203,-0.018,Nahuatl
68:AM1554,-0.0628,0.0243,0.0909,-0.0009,0.0296,-0.0628,0.1041,0.0506,0.0078,0.1808,AM1554
APOM10:APOM10,0.1813,-0.0905,-0.0162,-0.0525,0.0387,-0.0211,0.0061,-0.02,-0.0841,0.0465,APOM10
DZ005:DZ005,0.102,0.0056,0.014,0.0092,-0.0612,0.0766,-0.0205,-0.0436,-0.0272,-0.0603,DZ005
CGM077:CGM077,-0.2662,-0.3076,-0.0596,0.2098,0.139,0.0224,0.1192,-0.0365,0.0162,0.0104,CGM077
CGM066:CGM066,-0.1148,-0.0028,-0.0013,-0.11,-0.0674,0.0983,-0.0483,0.1114,0.0574,0.0543,CGM066
APOM11:APOM11,0.189,-0.1203,-0.0762,-0.0274,0.2049,-0.0242,0.0708,-0.0495,-0.0407,0.0192,Mayas
APOM21:APOM21,0.2599,-0.1496,0.0032,-0.0517,0.2116,-0.1798,-0.058,0.0442,-0.2424,-0.3986,Mayas
APOM23:APOM23,0.1626,-0.1115,-0.0733,0.0123,0.0277,0.0225,-0.0721,0.053,-0.1818,0.0514,Mayas
APOM3:APOM3,0.231,-0.1541,-0.0417,-0.0038,0.2191,-0.1174,-0.1591,-0.1124,-0.1409,-0.24,Mayas
APOM44:APOM44,0.2362,-0.0688,-0.0096,-0.1108,0.1255,-0.3282,0.1544,0.2259,-0.1259,0.3196,Mayas
DZ002:DZ002,0.2186,-0.0697,-0.02,0.0546,0.0408,-0.1513,0.0635,0.1776,0.1426,0.3484,Mayas
DZ003:DZ003,0.2887,-0.0253,-0.0369,0.6229,-0.4757,0.0239,-0.3367,-0.0877,-0.0352,0.1339,Mayas
DZ006:DZ006,0.198,-0.0908,-0.0391,-0.1516,-0.4478,0.0565,0.7105,-0.1393,0.0209,-0.2167,Mayas
DZ007:DZ007,0.2711,-0.1274,-0.1633,-0.1416,0.1564,0.4787,-0.1491,0.0989,0.6107,-0.1423,Mayas
DZ018:DZ018,0.2007,-0.0839,0.0332,0.0611,0.0267,0.1002,0.1254,-0.0028,0.0765,0.1961,Mayas
CGM067:CGM067,-0.1906,-0.076,-0.1609,-0.0796,-0.3014,0.0079,-0.1197,0.5878,-0.1723,-0.1333,Zapotecos
CGM065:CGM065,-0.0933,-0.0818,0.0327,-0.1536,-0.1219,0.0005,-0.0789,-0.0509,-0.0281,-0.0908,Zapotecos
