nombre,vector1,vector2,vector3,vector4,vector5,vector6,vector7,vector8,vector9,vector10,nombre2
36:AM0996,-0.1137,0.016,0.0214,0.0153,0.0679,0.4117,0.4073,-0.3006,-0.4585,-0.1357,Nahuatl
40:AM1193,-0.073,0.028,-0.0118,-0.039,0.1196,0.0814,0.1365,-0.08,-0.0532,0.0118,Totonaca
52:AM1299,-0.0881,-0.0839,0.0752,-0.0826,0.0643,0.0225,0.1676,-0.195,0.0702,0.254,AM1299
54:AM1343,-0.1263,0.0644,0.2516,-0.1801,-0.012,-0.3063,-0.2223,-0.0783,-0.2664,0.0241,AM1343
55:AM1346,-0.1263,0.0327,0.3004,-0.1803,-0.029,-0.3234,-0.2035,-0.1146,-0.1938,0.1007,AM1346
56:AM1357,-0.181,0.4091,-0.426,0.0148,-0.2483,0.0802,-0.1564,-0.4042,0.1872,0.1804,Totonaca
57:AM1373,-0.1323,-0.0092,-0.0057,-0.0326,-0.1356,-0.0415,-0.0873,0.2199,-0.0477,-0.2838,Totonaca
58:AM1380,-0.2402,0.185,0.1701,0.8418,-0.0982,0.0071,-0.1264,0.1409,-0.063,-0.0211,Totonaca
59:AM1386,-0.1036,0.0437,-0.0077,-0.0878,-0.2158,0.1551,0.2298,0.0167,0.0817,-0.1164,Totonaca
60:AM1391,-0.1616,0.0949,0.1493,-0.0656,-0.0913,-0.1477,-0.0148,0.0744,0.0749,-0.0948,Totonaca
61:AM1397,-0.2001,0.3134,-0.3068,-0.2668,-0.1558,0.017,0.0302,0.4144,0.0429,-0.139,Totonaca
69:AM1559,-0.1092,0.0488,-0.1402,0.0381,0.5702,-0.0074,-0.0418,0.0283,0.1816,-0.0139,Nahuatl
70:AM1561,-0.102,-0.0566,0.026,-0.0077,0.2874,0.051,0.0505,0.0172,0.1309,0.0825,Nahuatl
158:AM086,-0.108,0.0653,-0.0301,-0.0954,-0.0879,-0.0648,0.0714,-0.0387,0.1625,0.0951,Totonaca
180:AM064,-0.0873,-0.0459,0.0366,-0.0784,0.1119,0.162,0.0677,0.5038,-0.2927,0.3626,Nahuatl
189:AM056,-0.0058,-0.236,0.1046,-0.0768,-0.092,0.5603,-0.6101,-0.0664,-0.0438,0.028,Nahuatl

